_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,11055,11056,1730,TX-00265,BOERNE,78006,KENDALL,TX,747912,747912,0,0,0,0,0
2,11055,11056,1730,TX-00265,CASTROVILLE,78009,MEDINA,TX,111171,72946,38225,69700,26400,26700,16600
3,11055,11056,1730,TX-00265,HAMLIN,79520,JONES,TX,4235,4235,0,4300,4300,0,0
4,11055,11056,1730,TX-00265,HOUSTON,77034,HARRIS,TX,57525,57525,0,0,0,0,0
5,11055,11056,1730,TX-00265,MERKEL,79536,TAYLOR,TX,87424,76474,10950,0,0,0,0
6,11055,11056,1730,TX-00265,SAN ANTONIO,78202,BEXAR,TX,13147,13147,0,0,0,0,0
7,11055,11056,1730,TX-00265,SAN ANTONIO,78211,BEXAR,TX,68231,57681,10550,68200,57700,10500,0
8,11076,11077,,TX-00267,BEAUMONT,77701,JEFFERSON,TX,34508,33908,600,0,0,0,0
9,11076,11077,,TX-00267,BEAUMONT,77705,JEFFERSON,TX,33779,33779,0,34500,33800,0,700
10,11076,11077,,TX-00267,GALVESTON,77554,GALVESTON,TX,55633,55633,0,0,0,0,0
11,11076,11077,,TX-00267,HIGH ISLAND,77623,GALVESTON,TX,1627,0,1627,0,0,0,0
12,11076,11077,,TX-00267,ORANGE,77630,ORANGE,TX,296770,253848,42922,90900,64300,10500,16100
13,11076,11077,,TX-00267,PORT ARTHUR,77642,JEFFERSON,TX,817628,816227,1401,826500,814800,1300,10400
14,11076,11077,,TX-00267,VIDOR,77662,ORANGE,TX,9879,9879,0,0,0,0,0
15,11079,11080,1731,CA-00074,AGUA DULCE,91390,LOS ANGELES,CA,28946,13946,15000,0,0,0,0
16,11079,11080,1731,CA-00074,BIG BEAR CITY,92314,SAN BERNARDINO,CA,0,0,0,9900,0,0,9900
17,11079,11080,1731,CA-00074,BIG BEAR LAKE,92315,SAN BERNARDINO,CA,0,0,0,213100,0,0,213100
18,11079,11080,1731,CA-00074,BLUE JAY,92317,SAN BERNARDINO,CA,0,0,0,5000,0,0,5000
19,11079,11080,1731,CA-00074,CALABASAS,91302,LOS ANGELES,CA,2056,106,1950,0,0,0,0
20,11079,11080,1731,CA-00074,CANYON COUNTRY,91351,LOS ANGELES,CA,1208,0,1208,0,0,0,0
21,11079,11080,1731,CA-00074,CARLSBAD,92013,SAN DIEGO,CA,0,0,0,49000,0,0,49000
22,11079,11080,1731,CA-00074,CEDAR GLEN,92321,SAN BERNARDINO,CA,2000,0,2000,6800,0,2000,4800
23,11079,11080,1731,CA-00074,CORONA,92880,RIVERSIDE,CA,138245,8448,129797,0,0,0,0
24,11079,11080,1731,CA-00074,CRESTLINE,92325,SAN BERNARDINO,CA,2829,1082,1747,37100,0,0,37100
25,11079,11080,1731,CA-00074,DULZURA,91917,SAN DIEGO,CA,2842985,2583760,259225,706900,614600,87100,5200
26,11079,11080,1731,CA-00074,EL CAJON,92019,SAN DIEGO,CA,10482,432,10050,0,0,0,0
27,11079,11080,1731,CA-00074,EL CAJON,92020,SAN DIEGO,CA,44965,3465,41500,150000,0,0,150000
