_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,14138,14139,"",CA-00225,WEED,96094,SISKIYOU,CA,1175762,1145392,30370,95000,51200,0,43800
2,14143,14144,"",AZ-00039,GLENDALE,85301,MARICOPA,AZ,88454,88454,0,99100,88500,0,10600
3,14143,14144,"",AZ-00039,MESA,85204,MARICOPA,AZ,19033,19033,0,19100,19100,0,0
4,14143,14144,"",AZ-00039,MESA,85210,MARICOPA,AZ,9878,5978,3900,0,0,0,0
5,14143,14144,"",AZ-00039,MESA,85213,MARICOPA,AZ,88971,88971,0,89000,89000,0,0
6,14143,14144,"",AZ-00039,PHOENIX,85016,MARICOPA,AZ,30710,30710,0,30800,30800,0,0
7,14143,14144,"",AZ-00039,PHOENIX,85029,MARICOPA,AZ,11158,11158,0,11200,11200,0,0
8,14143,14144,"",AZ-00039,TEMPE,85281,MARICOPA,AZ,14256,14256,0,14200,12400,0,1800
9,14165,14166,"",HI-00032,HILO,96720,HAWAII,HI,52377,52377,0,45500,45500,0,0
10,14165,14166,"",HI-00032,KEAAU,96749,HAWAII,HI,27000,22500,4500,27000,22500,4500,0
11,14165,14166,"",HI-00032,PAHOA,96778,HAWAII,HI,135305,132309,2996,135500,132400,3100,0
12,14171,14172,"",KY-00053,ALLEN,41601,FLOYD,KY,13534,13534,0,0,0,0,0
13,14171,14172,"",KY-00053,PRESTONSBURG,41653,FLOYD,KY,16287,16287,0,0,0,0,0
14,14173,14174,4193,CA-00222,AMERICAN CANYON,94503,NAPA,CA,250986,198736,52250,251200,198900,52300,0
15,14173,14174,4193,CA-00222,AMERICAN CANYON,94589,SOLANO,CA,42944,42944,0,0,0,0,0
16,14173,14174,4193,CA-00222,NAPA,94558,NAPA,CA,4422720,3949721,472999,2818900,2440200,227600,148400
17,14173,14174,4193,CA-00222,NAPA,94559,NAPA,CA,12987468,11972792,1014676,5553300,4944000,394900,184000
18,14173,14174,4193,CA-00222,SUISUN CITY,94585,SOLANO,CA,29018,29018,0,0,0,0,0
19,14173,14174,4193,CA-00222,VALLEJO,94589,SOLANO,CA,89176,79976,9200,54700,45500,9200,0
20,14173,14174,4193,CA-00222,VALLEJO,94590,SOLANO,CA,733669,710086,23583,556100,556100,0,0
21,14173,14174,4193,CA-00222,VALLEJO,94591,SOLANO,CA,5408,3889,1519,1600,0,1600,0
22,14173,14174,4193,CA-00222,VALLEJO,94592,SOLANO,CA,775237,613278,161959,215300,0,0,215300
