SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State
11353,11354.0,TX-00297,LYFORD,78569.0,WILLACY,56700.0,54450.0,2250.0,43200.0,34400.0,2300.0,6500.0,2008,Texas
11353,11354.0,TX-00297,MCALLEN,78501.0,HIDALGO,651696.0,505154.0,146542.0,265800.0,193300.0,72500.0,0.0,2008,Texas
11353,11354.0,TX-00297,MCALLEN,78503.0,HIDALGO,324383.0,324383.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,MCALLEN,78504.0,HIDALGO,47700.0,47700.0,0.0,52700.0,47700.0,0.0,5000.0,2008,Texas
11353,11354.0,TX-00297,MERCEDES,78570.0,HIDALGO,249222.0,135530.0,113692.0,47000.0,43400.0,1100.0,2500.0,2008,Texas
11353,11354.0,TX-00297,MISSION,78572.0,HIDALGO,157392.0,153887.0,3505.0,18300.0,16000.0,0.0,2300.0,2008,Texas
11353,11354.0,TX-00297,MISSION,78573.0,HIDALGO,323878.0,323878.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,MONTE ALTO,78538.0,HIDALGO,2352.0,2352.0,0.0,2400.0,2400.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,OLMITO,78575.0,CAMERON,121222.0,111091.0,10131.0,75000.0,50000.0,0.0,25000.0,2008,Texas
11353,11354.0,TX-00297,PALMHURST,78573.0,HIDALGO,316059.0,274572.0,41487.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,PHARR,78577.0,HIDALGO,188273.0,174373.0,13900.0,6600.0,6600.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,PORT ISABEL,78578.0,CAMERON,1346395.0,1206760.0,139635.0,404600.0,253000.0,65800.0,85800.0,2008,Texas
11353,11354.0,TX-00297,PORT ISABEL,78587.0,CAMERON,20600.0,0.0,20600.0,37500.0,0.0,20600.0,16900.0,2008,Texas
11353,11354.0,TX-00297,POrt Isabel,78578.0,CAMERON,11428.0,6428.0,5000.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,PORT MANSFIELD,78598.0,WILLACY,52896.0,52496.0,400.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,PRIMERA,78552.0,CAMERON,123588.0,28798.0,94790.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,RAYMONDVILLE,78580.0,WILLACY,179377.0,165752.0,13625.0,16800.0,16800.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,RIO HONDO,78583.0,CAMERON,155735.0,123691.0,32044.0,103400.0,41700.0,5500.0,56200.0,2008,Texas
11353,11354.0,TX-00297,S PADRE ISLE,78597.0,CAMERON,78018.0,30118.0,47900.0,19000.0,14000.0,0.0,5000.0,2008,Texas
11353,11354.0,TX-00297,SAN BENITO,78586.0,CAMERON,879707.0,771577.0,108130.0,550200.0,437700.0,70400.0,42100.0,2008,Texas
11353,11354.0,TX-00297,SAN JUAN,78589.0,HIDALGO,12105.0,9445.0,2660.0,15200.0,9500.0,2700.0,3000.0,2008,Texas
11353,11354.0,TX-00297,SAN PERLITA,78590.0,WILLACY,972270.0,854993.0,117277.0,839700.0,326300.0,94400.0,419000.0,2008,Texas
11353,11354.0,TX-00297,SANTA ROSA,78593.0,CAMERON,226194.0,217784.0,8410.0,36600.0,36600.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,SEBASTIAN,78594.0,WILLACY,15111.0,15111.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,SOUTH PADRE ISLAND,78597.0,CAMERON,10882836.0,9717871.0,1164965.0,3468600.0,1829700.0,465800.0,1173100.0,2008,Texas
11353,11354.0,TX-00297,South Padre Island,78597.0,CAMERON,74865.0,3969.0,70896.0,45100.0,0.0,14000.0,31100.0,2008,Texas
11353,11354.0,TX-00297,WESLACO,78596.0,HIDALGO,288576.0,214321.0,74255.0,222800.0,50100.0,1800.0,170900.0,2008,Texas
11430,11431.0,TX-00308,ALGOA,77510.0,GALVESTON,140303.0,117841.0,22462.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,ALGOA,77511.0,GALVESTON,6662.0,6662.0,0.0,6700.0,6700.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,ALTO,75925.0,CHEROKEE,51995.0,44008.0,7987.0,48900.0,44100.0,4800.0,0.0,2008,Texas
11430,11431.0,TX-00308,ALVIN,77511.0,BRAZORIA,4047374.0,3665374.0,382000.0,2673600.0,2097700.0,352700.0,178200.0,2008,Texas
