_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,11891,11892,,NY-00074,YONKERS,10701,WESTCHESTER,NY,100121,98421,1700,43400,41700,1700,0
2,11891,11892,,NY-00074,YONKERS,10703,WESTCHESTER,NY,37131,37131,0,0,0,0,0
3,11909,11910,,TN-00033,CHATTANOOGA,37404,HAMILTON,TN,22370,8300,14070,22400,8300,14100,0
4,11909,11910,,TN-00033,CHATTANOOGA,37411,HAMILTON,TN,152597,86888,65709,152600,86900,65700,0
5,11909,11910,,TN-00033,CHATTANOOGA,37412,HAMILTON,TN,1561422,1054936,506486,1558600,555000,506500,497100
6,11909,11910,,TN-00033,CHATTANOOGA,37415,HAMILTON,TN,20768,14768,6000,0,0,0,0
7,11909,11910,,TN-00033,EAST RIDGE,37412,HAMILTON,TN,1020453,956015,64438,87300,0,0,87300
8,11924,11925,,PA-00027,BLOOMSBURG,17815,COLUMBIA,PA,1376864,1224491,152373,782500,624000,152300,6200
9,11926,11927,,IN-00031,CLARKSVILLE,47129,CLARK,IN,53727,53727,0,43800,43800,0,0
10,11926,11927,,IN-00031,JEFFERSONVILLE,47130,CLARK,IN,644524,627452,17072,177400,110300,17100,0
11,11926,11927,,IN-00031,NEW ALBANY,47150,FLOYD,IN,76450,76450,0,0,0,0,0
12,11926,11927,,IN-00031,SELLERSBURG,47172,CLARK,IN,32399,32399,0,0,0,0,0
13,11939,11940,,VA-00026,CHESAPEAKE,23320,CHESAPEAKE CITY,VA,29073,14766,14307,0,0,0,0
14,11939,11940,,VA-00026,CHESAPEAKE,23322,CHESAPEAKE CITY,VA,293020,265943,27077,185800,183900,1900,0
15,11939,11940,,VA-00026,CHESAPEAKE,23323,CHESAPEAKE CITY,VA,40781,40781,0,0,0,0,0
16,11939,11940,,VA-00026,CHESAPEAKE,23324,CHESAPEAKE CITY,VA,24328,23578,750,0,0,0,0
