_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,13326,13327,,UT-00015,SANTA CLARA,84765,WASHINGTON,UT,514761,387766,126995,160600,158900,1700,0
2,13328,13329,,OK-00066,LUTHER,73054,OKLAHOMA,OK,61759,32029,29730,0,0,0,0
3,13330,13331,,OK-00067,GLENCOE,74032,PAYNE,OK,75248,30758,44490,77200,30800,44500,1900
4,13341,13342,,NY-00126,BETHEL,12720,SULLIVAN,NY,17331,17331,0,0,0,0,0
5,13346,13347,,PA-00054,WYNCOTE,19095,MONTGOMERY,PA,102761,83586,19175,28900,21800,6000,1100
6,13348,13349,,MA-00049,BROCKTON,2301,PLYMOUTH,MA,5565,565,5000,0,0,0,0
7,13365,13366,4085,NY-00130,ALBERTSON,11507,NASSAU,NY,51955,42355,9600,50400,0,0,50400
8,13365,13366,4085,NY-00130,AMITY HARBOR,11701,SUFFOLK,NY,471587,407182,64405,175300,105400,55700,14200
9,13365,13366,4085,NY-00130,AMITYV ILLE,11701,SUFFOLK,NY,0,0,0,18500,0,0,18500
10,13365,13366,4085,NY-00130,AMITYVILLE,11701,NASSAU,NY,27812,16712,11100,0,0,0,0
11,13365,13366,4085,NY-00130,AMITYVILLE,11701,SUFFOLK,NY,4205242,3300857,904385,1552600,899400,279900,373300
12,13365,13366,4085,NY-00130,AQUEBOGUE,11931,SUFFOLK,NY,66164,66164,0,66200,66200,0,0
13,13365,13366,4085,NY-00130,ARVERNA,11692,QUEENS,NY,43178,43178,0,0,0,0,0
14,13365,13366,4085,NY-00130,ARVERNE,11520,QUEENS,NY,59192,57092,2100,0,0,0,0
15,13365,13366,4085,NY-00130,ARVERNE,11692,QUEENS,NY,11695230,6784459,4910771,4044000,2735900,994200,313900
16,13365,13366,4085,NY-00130,ASTORIA,11101,QUEENS,NY,13920,13920,0,0,0,0,0
17,13365,13366,4085,NY-00130,ASTORIA,11102,QUEENS,NY,515505,111031,404474,47800,0,47800,0
18,13365,13366,4085,NY-00130,ASTORIA,11105,QUEENS,NY,3740,0,3740,0,0,0,0
19,13365,13366,4085,NY-00130,ASTORIA,11106,QUEENS,NY,183325,5075,178250,37600,2200,13100,22300
20,13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NASSAU,NY,4051405,3435394,616011,1077500,794500,235200,47800
21,13365,13366,4085,NY-00130,ATLANTIC BEACH,11561,NASSAU,NY,121236,94886,26350,0,0,0,0
22,13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NEW YORK,NY,2997417,2859367,138050,2000000,2000000,0,0
23,13365,13366,4085,NY-00130,BABYLON,11702,SUFFOLK,NY,7252526,4914784,2337742,1673200,727200,433600,512400
24,13365,13366,4085,NY-00130,BALDWIN,11510,NASSAU,NY,2211109,1684453,526656,513600,379000,42600,92000
25,13365,13366,4085,NY-00130,BAY SHORE,11706,SUFFOLK,NY,2197394,1401468,795926,653300,258600,123400,271300
26,13365,13366,4085,NY-00130,BAYONNE,7002,HUDSON,NJ,0,0,0,240100,0,0,240100
27,13365,13366,4085,NY-00130,BAYSHORE,11706,SUFFOLK,NY,206723,166841,39882,115300,107400,3700,4200
28,13365,13366,4085,NY-00130,BAYSIDE,11361,QUEENS,NY,18193,4568,13625,0,0,0,0
29,13365,13366,4085,NY-00130,BAYSIDE,11364,QUEENS,NY,18173,18173,0,0,0,0,0
30,13365,13366,4085,NY-00130,BAYVILLE,11709,NASSAU,NY,598046,352227,245819,167900,131100,16500,20300
31,13365,13366,4085,NY-00130,BELLE HARBOR,11694,KINGS,NY,906829,855681,51148,0,0,0,0
32,13365,13366,4085,NY-00130,BELLE HARBOR,10314,QUEENS,NY,854105,742648,111457,999700,742700,111500,145500
33,13365,13366,4085,NY-00130,BELLE HARBOR,11694,QUEENS,NY,5260584,3777886,1482698,1777600,978800,473400,325400
34,13365,13366,4085,NY-00130,BELLEHARBOR,11694,QUEENS,NY,72544,0,72544,0,0,0,0
35,13365,13366,4085,NY-00130,BELLEROSE,11426,QUEENS,NY,51458,50458,1000,0,0,0,0
36,13365,13366,4085,NY-00130,BELLMORE,11710,NASSAU,NY,2115652,1562940,552712,925500,438100,157800,329600
37,13365,13366,4085,NY-00130,BELLPORT,11713,SUFFOLK,NY,9040,0,9040,4100,0,1600,2500
38,13365,13366,4085,NY-00130,BETHPAGE,11714,NASSAU,NY,49111,46026,3085,77700,0,0,77700
39,13365,13366,4085,NY-00130,BKLYN,11229,KINGS,NY,17725,0,17725,14000,0,14000,0
40,13365,13366,4085,NY-00130,BLOOMING GROVE,10914,ORANGE,NY,1870,0,1870,0,0,0,0
41,13365,13366,4085,NY-00130,BLUE POINT,11715,SUFFOLK,NY,15000,12850,2150,0,0,0,0
42,13365,13366,4085,NY-00130,BOHEMIA,11716,SUFFOLK,NY,0,0,0,713000,0,0,713000
43,13365,13366,4085,NY-00130,BOOKLYN,11235,KINGS,NY,171384,140826,30558,0,0,0,0
44,13365,13366,4085,NY-00130,BREEZY POINT,11697,QUEENS,NY,5735054,4817656,917398,380600,169300,178400,32900
45,13365,13366,4085,NY-00130,BRENTWOOD,11717,SUFFOLK,NY,134903,100375,34528,192800,6100,2400,184300
46,13365,13366,4085,NY-00130,BREWSTER,10509,PUTNAM,NY,50405,0,50405,0,0,0,0
47,13365,13366,4085,NY-00130,BRIGHTWATERS,11718,SUFFOLK,NY,0,0,0,18200,0,0,18200
48,13365,13366,4085,NY-00130,BROAD CHANNEL,11693,QUEENS,NY,5539568,3904232,1635336,1153000,954600,165500,32900
49,13365,13366,4085,NY-00130,BRONX,10451,BRONX,NY,247010,194497,52513,99100,12100,51900,35100
50,13365,13366,4085,NY-00130,BRONX,10452,BRONX,NY,86591,86591,0,0,0,0,0
51,13365,13366,4085,NY-00130,BRONX,10454,BRONX,NY,78808,8700,70108,68700,8700,3100,56900
52,13365,13366,4085,NY-00130,BRONX,10456,BRONX,NY,86330,69470,16860,0,0,0,0
53,13365,13366,4085,NY-00130,BRONX,10457,BRONX,NY,84208,84208,0,0,0,0,0
54,13365,13366,4085,NY-00130,BRONX,10458,BRONX,NY,6158,6158,0,157600,0,0,157600
55,13365,13366,4085,NY-00130,BRONX,10460,BRONX,NY,47562,47562,0,29800,29800,0,0
56,13365,13366,4085,NY-00130,BRONX,10461,BRONX,NY,56386,0,56386,101400,0,21800,79600
57,13365,13366,4085,NY-00130,BRONX,10462,BRONX,NY,2139,2139,0,0,0,0,0
58,13365,13366,4085,NY-00130,BRONX,10463,BRONX,NY,16400,0,16400,0,0,0,0
59,13365,13366,4085,NY-00130,BRONX,10464,BRONX,NY,3014689,2980693,33996,754100,754100,0,0
60,13365,13366,4085,NY-00130,BRONX,10465,BRONX,NY,2618080,2379123,238957,1914800,1658700,129000,89700
61,13365,13366,4085,NY-00130,BRONX,10466,BRONX,NY,21015,1015,20000,0,0,0,0
62,13365,13366,4085,NY-00130,BRONX,10467,BRONX,NY,62460,55575,6885,36200,29300,6900,0
63,13365,13366,4085,NY-00130,BRONX,10468,BRONX,NY,1668,1668,0,0,0,0,0
64,13365,13366,4085,NY-00130,BRONX,10469,BRONX,NY,8800,0,8800,77300,0,1500,75800
65,13365,13366,4085,NY-00130,BRONX,10470,BRONX,NY,0,0,0,26500,0,0,26500
66,13365,13366,4085,NY-00130,BRONX,10471,BRONX,NY,0,0,0,319200,0,0,319200
67,13365,13366,4085,NY-00130,BRONX,10473,BRONX,NY,364036,348316,15720,4600,4600,0,0
68,13365,13366,4085,NY-00130,BRONX,10474,BRONX,NY,196062,151146,44916,192000,149200,42800,0
69,13365,13366,4085,NY-00130,BRONX,10475,BRONX,NY,225167,13912,211255,0,0,0,0
70,13365,13366,4085,NY-00130,BRONX,10471,COLUMBIA,NY,46126,46126,0,0,0,0,0
71,13365,13366,4085,NY-00130,BRONXVILLE,10708,WESTCHESTER,NY,2500,0,2500,0,0,0,0
72,13365,13366,4085,NY-00130,BROOKHAVEN,11719,SUFFOLK,NY,23063,0,23063,0,0,0,0
73,13365,13366,4085,NY-00130,BROOKLN,11221,KINGS,NY,1624,1624,0,0,0,0,0
74,13365,13366,4085,NY-00130,BROOKLY,11214,KINGS,NY,3850,0,3850,0,0,0,0
75,13365,13366,4085,NY-00130,BROOKLYM,11224,KINGS,NY,77862,30106,47756,0,0,0,0
76,13365,13366,4085,NY-00130,BROOKLYN,11236,GREENE,NY,38876,37026,1850,0,0,0,0
