_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,12876,12877,,NJ-00022,PHILADELPHIA,19132,PHILADELPHIA,PA,38232,38232,0,0,0,0,0
2,12884,12885,,MA-00043,BEVERLY,1915,ESSEX,MA,299066,140296,158770,263800,25600,150600,87600
3,12884,12885,,MA-00043,LYNN,1901,ESSEX,MA,254946,189991,64955,0,0,0,0
4,12884,12885,,MA-00043,LYNN,1902,ESSEX,MA,37129,5179,31950,32000,0,32000,0
5,12884,12885,,MA-00043,SWAMPSCOTT,1907,ESSEX,MA,36836,23336,13500,34100,16900,13500,3700
6,12895,12896,1998,IA-00033,COUNCIL BLUFFS,51501,POTTAWATTAMIE,IA,1380716,1232560,148156,749000,601100,147900,0
7,12895,12896,1998,IA-00033,COUNCIL BLUFFS,51503,POTTAWATTAMIE,IA,174307,170332,3975,171600,170400,600,600
8,12895,12896,1998,IA-00033,CRESCENT,51526,POTTAWATTAMIE,IA,273030,249826,23204,0,0,0,0
9,12895,12896,1998,IA-00033,HAMBURG,51640,FREMONT,IA,33273,31473,1800,0,0,0,0
10,12895,12896,1998,IA-00033,Mondamin,51557,HARRISON,IA,0,0,0,32000,0,0,32000
11,12895,12896,1998,IA-00033,PACIFIC JUNCTION,51561,MILLS,IA,210211,207193,3018,0,0,0,0
12,12895,12896,1998,IA-00033,PERCIVAL,51648,FREMONT,IA,123424,112574,10850,1500,0,1500,0
13,12895,12896,1998,IA-00033,TABOR,51653,FREMONT,IA,28958,28958,0,0,0,0,0
14,12895,12896,1998,IA-00033,THURMAN,51654,FREMONT,IA,57234,55634,1600,0,0,0,0
15,12897,12898,4040,PR-00016,GUAYAMA,785,JUANA DIAZ,PR,3050,0,3050,0,0,0,0
16,12897,12898,4040,PR-00016,JUANA DIAZ,795,JUANA DIAZ,PR,58456,35956,22500,0,0,0,0
17,12897,12898,4040,PR-00016,NAGUABO,718,NAGUABO,PR,10937,8287,2650,0,0,0,0
18,12897,12898,4040,PR-00016,YABUCOA,767,YABUCOA,PR,6969,6969,0,0,0,0,0
19,12901,12902,,FL-00064,DAVIE,33330,BROWARD,FL,12948,7848,5100,0,0,0,0
20,12901,12902,,FL-00064,FORT LAUDERDALE,33324,BROWARD,FL,46275,46275,0,0,0,0,0
21,12901,12902,,FL-00064,MIAMI,33135,MIAMI-DADE,FL,73311,17241,56070,0,0,0,0
22,12901,12902,,FL-00064,PLANTATION,33325,BROWARD,FL,204388,175894,28494,0,0,0,0
23,12909,12910,4042,VA-00037,BARBOURSVILLE,22923,ORANGE,VA,9709,9709,0,9800,9800,0,0
24,12909,12910,4042,VA-00037,CULPEPER,22701,CULPEPER,VA,270894,270894,0,389900,217000,0,0
25,12909,12910,4042,VA-00037,FREDERICKSBURG,22401,FREDERICKSBURG CITY,VA,74146,68646,5500,50000,50000,0,0
26,12909,12910,4042,VA-00037,FREDERICKSBURG,22407,SPOTSYLVANIA,VA,31309,31309,0,0,0,0,0
27,12909,12910,4042,VA-00037,GORDONSVILLE,22942,LOUISA,VA,3255,3255,0,0,0,0,0
28,12909,12910,4042,VA-00037,GORDONSVILLE,22942,ORANGE,VA,5452,5452,0,0,0,0,0
29,12909,12910,4042,VA-00037,KING GEORGE,22485,KING GEORGE,VA,64893,64893,0,0,0,0,0
30,12909,12910,4042,VA-00037,LOUISA,23093,GOOCHLAND,VA,6790,6790,0,6800,6800,0,0
31,12909,12910,4042,VA-00037,LOUISA,23093,LOUISA,VA,306802,303485,3317,67000,67000,0,0
32,12909,12910,4042,VA-00037,MINERAL,23117,LOUISA,VA,605639,549139,56500,445900,445200,700,0
33,12909,12910,4042,VA-00037,ORANGE,22960,ORANGE,VA,46584,46584,0,46600,46600,0,0
34,12909,12910,4042,VA-00037,SANDY HOOK,23153,GOOCHLAND,VA,24117,24117,0,0,0,0,0
35,12909,12910,4042,VA-00037,STEVENSBURG,22741,CULPEPER,VA,210136,210136,0,0,0,0,0
36,12909,12910,4042,VA-00037,TROY,22974,FLUVANNA,VA,14508,14508,0,14000,14000,0,0
37,12911,12912,,MO-00051,SAINT CHARLES,63301,SAINT CHARLES,MO,42440,37840,4600,39600,35000,4600,0
38,12917,12918,,VA-00039,ALEXANDRIA,22302,ALEXANDRIA CITY,VA,24876,24876,0,24900,24900,0,0
39,12917,12918,,VA-00039,ALEXANDRIA,22304,ALEXANDRIA CITY,VA,272946,3961,268985,50300,1900,48400,0
40,12917,12918,,VA-00039,ARLINGTON,22205,ARLINGTON,VA,16351,0,16351,0,0,0,0
41,12917,12918,,VA-00039,BURKE,22015,FAIRFAX,VA,7550,7550,0,0,0,0,0
42,12917,12918,,VA-00039,DUMFRIES,22026,PRINCE WILLIAM,VA,271555,165729,105826,537400,157500,103400,276500
43,12917,12918,,VA-00039,FALLS CHURCH,22041,FAIRFAX,VA,0,0,0,5000,0,0,5000
44,12917,12918,,VA-00039,OCCOQUAN,22125,PRINCE WILLIAM,VA,26863,24963,1900,26900,25000,1900,0
45,12917,12918,,VA-00039,WOODBRIDGE,22191,PRINCE WILLIAM,VA,1822587,1759751,62836,285400,285400,0,0
46,12919,12920,,FL-00066,CORAL SPRINGS,33076,BROWARD,FL,4400,0,4400,0,0,0,0
47,12919,12920,,FL-00066,FT LAUDERDALE,33315,BROWARD,FL,14802,4569,10233,0,0,0,0
48,12919,12920,,FL-00066,MIAMI,33174,MIAMI-DADE,FL,25029,25029,0,0,0,0,0
49,12919,12920,,FL-00066,POMPANO BEACH,33064,BROWARD,FL,7330,0,7330,0,0,0,0
50,12919,12920,,FL-00066,WILTON MANORS,33305,BROWARD,FL,79512,70227,9285,0,0,0,0
51,12938,12939,,MS-00052,COLLINS,39428,COVINGTON,MS,40984,872,40112,0,0,0,0
52,12949,12950,,IN-00039,PAOLI,47454,ORANGE,IN,282083,276349,5734,0,0,0,0
53,12953,12954,,MD-00017,MOUNT JOY,17552,LANCASTER,PA,59624,31579,28045,0,0,0,0
54,12953,12954,,MD-00017,PERRYVILLE,21903,CECIL,MD,407489,407489,0,0,0,0,0
55,12953,12954,,MD-00017,PORT DEPOSIT,21904,CECIL,MD,5950,0,5950,0,0,0,0
56,12955,12956,,OK-00057,OKLAHOMA CITY,73103,OKLAHOMA,OK,71139,71139,0,71200,71200,0,0
57,12955,12956,,OK-00057,OKLAHOMA CITY,73118,OKLAHOMA,OK,26842,26842,0,26900,26900,0,0
58,12955,12956,,OK-00057,PRAGUE,74864,LINCOLN,OK,41733,31233,10500,38700,28700,10000,0
59,12955,12956,,OK-00057,SHAWNEE,74801,POTTAWATOMIE,OK,19720,19720,0,19800,19800,0,0
60,12955,12956,,OK-00057,SHAWNEE,74804,POTTAWATOMIE,OK,1572602,1572602,0,0,0,0,0
