_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,11464,11465,1798,PR-00003,AGUIRRE,704,SALINAS,PR,51165,46475,4690,0,0,0,0
2,11464,11465,1798,PR-00003,AIBONITO,705,AIBONITO,PR,0,0,0,12000,0,0,12000
3,11464,11465,1798,PR-00003,ARROYO,714,ARROYO,PR,116290,100558,15732,21000,19800,0,1200
4,11464,11465,1798,PR-00003,BOQUERON,622,CABO ROJO,PR,12454,12454,0,6600,4500,0,2100
5,11464,11465,1798,PR-00003,CABO ROJO,622,CABO ROJO,PR,35170,35170,0,0,0,0,0
6,11464,11465,1798,PR-00003,CABO ROJO,623,CABO ROJO,PR,40772,16183,24589,24000,13400,10600,0
7,11464,11465,1798,PR-00003,GUANICA,653,GUANICA,PR,19538,15163,4375,0,0,0,0
8,11464,11465,1798,PR-00003,GUAYAMA,784,GUAYAMA,PR,193374,96194,97180,3500,600,1400,1500
9,11464,11465,1798,PR-00003,GUAYAMA,785,GUAYAMA,PR,16161,15461,700,7700,7700,0,0
10,11464,11465,1798,PR-00003,GUAYANILLA,656,GUAYANILLA,PR,26757,15842,10915,0,0,0,0
11,11464,11465,1798,PR-00003,GURABO,778,GURABO,PR,46842,44492,2350,46900,44500,2400,0
12,11464,11465,1798,PR-00003,HUMACAO,791,HUMACAO,PR,152900,126688,26212,20000,20000,0,0
13,11464,11465,1798,PR-00003,HUMACAO,792,HUMACAO,PR,23070,23070,0,10900,10900,0,0
14,11464,11465,1798,PR-00003,JUNCOS,777,JUNCOS,PR,21862,14117,7745,7000,5900,0,1100
15,11464,11465,1798,PR-00003,LAJAS,667,LAJAS,PR,17547,13347,4200,0,0,0,0
16,11464,11465,1798,PR-00003,LAS PIEDRAS,771,LAS PIEDRAS,PR,138150,137950,200,70500,70500,0,0
17,11464,11465,1798,PR-00003,MAUNABO,707,MAUNABO,PR,156910,151010,5900,28900,26300,0,2600
18,11464,11465,1798,PR-00003,MERCEDITAS,715,PONCE,PR,63644,22395,41249,0,0,0,0
19,11464,11465,1798,PR-00003,NAGUABO,718,NAGUABO,PR,215466,194620,20846,15100,3800,0,11300
20,11464,11465,1798,PR-00003,PATILLAS,723,PATILLAS,PR,511166,395258,115908,110600,39200,4200,67200
21,11464,11465,1798,PR-00003,PENUELAS,624,PENUELAS,PR,76671,22468,54203,4700,4700,0,0
22,11464,11465,1798,PR-00003,PONCE,716,PONCE,PR,18897,17497,1400,0,0,0,0
23,11464,11465,1798,PR-00003,PONCE,717,PONCE,PR,24662,21162,3500,0,0,0,0
24,11464,11465,1798,PR-00003,PONCE,728,PONCE,PR,84172,45637,38535,0,0,0,0
25,11464,11465,1798,PR-00003,PONCE,730,PONCE,PR,34528,23263,11265,34600,23300,11300,0
26,11464,11465,1798,PR-00003,PONCE,731,PONCE,PR,9647,8147,1500,0,0,0,0
27,11464,11465,1798,PR-00003,PUNTA SANTIAGO,741,HUMACAO,PR,36072,36072,0,36100,36100,0,0
28,11464,11465,1798,PR-00003,SALINAS,751,SALINAS,PR,89615,64885,24730,33200,28100,5100,0
29,11464,11465,1798,PR-00003,SAN LORENZO,754,SAN LORENZO,PR,25150,25150,0,0,0,0,0
30,11464,11465,1798,PR-00003,SANTA ISABEL,757,SANTA ISABEL,PR,66983,57625,9358,14000,13000,400,600
31,11464,11465,1798,PR-00003,VILLALBA,766,VILLALBA,PR,9937,9937,0,0,0,0,0
32,11464,11465,1798,PR-00003,YABUCOA,767,YABUCOA,PR,153775,125636,28139,94300,77900,12700,3700
33,11464,11465,1798,PR-00003,YAUCO,698,YAUCO,PR,43596,43096,500,6200,5700,0,500
34,11469,11470,1800,IL-00019,ADDISON,60101,DUPAGE,IL,2570281,2456756,113525,1403600,1294400,72700,36500
35,11469,11470,1800,IL-00019,AURORA,60506,KANE,IL,9431,8131,1300,0,0,0,0
36,11469,11470,1800,IL-00019,BARTLETT,60103,COOK,IL,268146,235939,32207,84400,71500,10500,2400
37,11469,11470,1800,IL-00019,BELLWOOD,60104,COOK,IL,49929,47979,1950,24700,23900,800,0
38,11469,11470,1800,IL-00019,BLUE ISLAND,60405,COOK,IL,9676,5676,4000,0,0,0,0
39,11469,11470,1800,IL-00019,BLUE ISLAND,60406,COOK,IL,18912,15712,3200,4300,3200,1100,0
40,11469,11470,1800,IL-00019,BOLINGBROOK,60440,WILL,IL,143735,13572,130163,148300,10000,89000,49300
41,11469,11470,1800,IL-00019,BURNHAM,60633,COOK,IL,62301,62301,0,23300,22000,0,1300
42,11469,11470,1800,IL-00019,CALUMET CITY,60409,COOK,IL,431118,413818,17300,212000,185900,14600,11500
43,11469,11470,1800,IL-00019,CALUMET PARK,60827,COOK,IL,30979,30979,0,0,0,0,0
44,11469,11470,1800,IL-00019,CAROL STREAM,60188,DUPAGE,IL,12250,2045,10205,240100,0,0,240100
45,11469,11470,1800,IL-00019,CHG0,60624,COOK,IL,15837,15837,0,0,0,0,0
46,11469,11470,1800,IL-00019,CHICAGO,60409,COOK,IL,4126,1440,2686,0,0,0,0
47,11469,11470,1800,IL-00019,CHICAGO,60607,COOK,IL,60463,59013,1450,7000,7000,0,0
48,11469,11470,1800,IL-00019,CHICAGO,60609,COOK,IL,169696,165521,4175,149700,145500,4200,0
49,11469,11470,1800,IL-00019,CHICAGO,60611,COOK,IL,22679,18959,3720,0,0,0,0
50,11469,11470,1800,IL-00019,CHICAGO,60614,COOK,IL,10939,2859,8080,9000,0,4000,5000
51,11469,11470,1800,IL-00019,CHICAGO,60615,COOK,IL,35135,32485,2650,0,0,0,0
52,11469,11470,1800,IL-00019,CHICAGO,60617,COOK,IL,230686,215316,15370,171300,163600,5700,2000
53,11469,11470,1800,IL-00019,CHICAGO,60619,COOK,IL,119084,106470,12614,79600,77100,0,2500
