_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,13792,13793,,SC-00024,GEORGETOWN,29440,GEORGETOWN,SC,749971,61233,688738,509500,31800,399000,78700
2,13794,13795,,MO-00067,BULL SHOALS,72619,MARION,AR,0,0,0,5000,0,0,5000
3,13794,13795,,MO-00067,DEVILS ELBOW,65457,PULASKI,MO,12675,12675,0,0,0,0,0
4,13794,13795,,MO-00067,LAQUEY,65534,PULASKI,MO,4510,0,4510,0,0,0,0
5,13794,13795,,MO-00067,RICHLAND,65556,PULASKI,MO,42550,28515,14035,0,0,0,0
6,13794,13795,,MO-00067,WAYNESVILLE,65583,PULASKI,MO,108959,106825,2134,38800,36700,2100,0
7,13823,13824,,TX-00417,AUSTIN,73301,TRAVIS,TX,39962,38162,1800,38200,38200,0,0
8,13823,13824,,TX-00417,AUSTIN,78737,TRAVIS,TX,45246,44059,1187,0,0,0,0
9,13823,13824,,TX-00417,AUSTIN,78744,TRAVIS,TX,1099608,705666,393942,708500,373500,300800,34200
10,13823,13824,,TX-00417,BUDA,78610,HAYS,TX,22453,22453,0,24500,22500,0,2000
11,13823,13824,,TX-00417,DEL VALLE,78617,TRAVIS,TX,114444,25396,89048,0,0,0,0
12,13823,13824,,TX-00417,MANCHACA,78652,HAYS,TX,209753,196053,13700,192800,176900,13700,2200
13,13823,13824,,TX-00417,SAN MARCOS,78666,CALDWELL,TX,175410,173010,2400,0,0,0,0
14,13823,13824,,TX-00417,SAN MARCOS,78666,HAYS,TX,11470,8471,2999,0,0,0,0
15,13823,13824,,TX-00417,UHLAND,78640,HAYS,TX,51490,51490,0,36500,36500,0,0
16,13829,13830,4157,IL-00043,BROOKPORT,62910,MASSAC,IL,336692,334492,2200,32200,30000,2200,0
